full_name,number,position,height (in),weight (lb),date_of_birth,team,sign
"Peko, Domata",94,defensive tackle,75,322,11/27/84,CIN,sagittarius
"Robinson, Zac",5,quarterback,75,208,9/29/86,CIN,libra
"Still, Devon",75,defensive tackle,77,320,7/11/89,CIN,cancer
"Thompson, Brandon",98,defensive tackle,74,325,10/19/89,CIN,libra
"Bademosi, Johnson",24,cornerback,72,200,7/23/90,CLE,leo
"Bryant, Armonty",95,defensive end,76,265,5/20/90,CLE,taurus
"Bryant, Desmond",92,defensive end,78,310,12/15/85,CLE,sagittarius
"Campbell, Jason",17,quarterback,77,230,12/31/81,CLE,capricorn
"Haden, Joe",23,cornerback,71,190,4/14/89,CLE,aries
"Hoyer, Brian",6,quarterback,74,215,10/13/85,CLE,libra
"Hughes, John",93,defensive tackle,74,320,4/27/88,CLE,taurus
"Lewis, Dion",28,running back,68,195,9/27/90,CLE,libra
"McFadden, Leon",29,cornerback,69,195,10/26/90,CLE,scorpio
"McGahee, Willis",26,running back,72,235,10/21/81,CLE,libra
"Ogbonnaya, Chris",25,running back,72,225,5/5/86,CLE,taurus
"Owens, Chris",21,cornerback,69,180,12/1/86,CLE,sagittarius
"Rainey, Bobby",34,running back,68,212,10/16/87,CLE,libra
"Rubin, Ahtyba",71,defensive end,74,330,7/25/86,CLE,leo
"Skrine, Buster",22,cornerback,69,185,4/26/89,CLE,taurus
"Weeden, Brandon",3,quarterback,75,220,10/14/83,CLE,libra
"Whittaker, Fozzy",35,running back,70,202,2/2/89,CLE,aquarius
"Winn, Billy",90,defensive end,76,295,4/15/89,CLE,aries
"Canty, Chris",99,defensive end,79,317,11/10/82,BAL,scorpio
"Flacco, Joe",5,quarterback,78,245,1/16/85,BAL,capricorn
"Graham, Corey",24,cornerback,72,196,7/25/85,BAL,leo
"Jackson, Asa",25,cornerback,70,182,12/2/89,BAL,sagittarius
"Jones, Arthur",97,defensive end,75,315,6/3/86,BAL,gemini
"Juszczyk, Kyle",40,running back,73,245,4/23/91,BAL,taurus
"Pierce, Bernard",30,running back,72,218,5/10/90,BAL,taurus
"Rice, Ray",27,running back,68,212,1/22/87,BAL,aquarius
"Smith, Jimmy",22,cornerback,74,200,7/26/88,BAL,leo
"Spears, Marcus",96,defensive end,76,315,3/8/83,BAL,pisces
"Taylor, Tyrod",2,quarterback,73,215,8/3/89,BAL,leo
"Tyson, DeAngelo",93,defensive end,74,315,4/12/89,BAL,aries
"Webb, Lardarius",21,cornerback,70,182,10/12/85,BAL,libra
"Williams, Brandon",98,defensive tackle,73,335,2/21/89,BAL,pisces
"Bass, Ben",79,defensive end,77,294,10/12/89,DAL,libra
"Carr, Brandon",39,cornerback,72,206,5/19/86,DAL,taurus
"Carter, David",79,defensive tackle,77,300,12/10/87,DAL,sagittarius
"Claiborne, Morris",24,cornerback,71,190,2/7/90,DAL,aquarius
"Crawford, Tyrone",98,defensive end,76,284,11/22/89,DAL,scorpio
"Dunbar, Lance",25,running back,68,188,1/25/90,DAL,aquarius
"Greenwood, Chris",33,cornerback,73,193,7/10/89,DAL,cancer
"Hatcher, Jason",97,defensive tackle,78,299,7/13/82,DAL,cancer
"Hayden, Nick",96,defensive tackle,76,301,2/4/86,DAL,aquarius
"Jones, Edgar",55,defensive end,76,262,12/1/84,DAL,sagittarius
"Murray, DeMarco",29,running back,72,219,2/12/88,DAL,aquarius
"Nevis, Drake",70,defensive tackle,73,310,5/8/89,DAL,taurus
"Orton, Kyle",18,quarterback,76,228,11/14/82,DAL,scorpio
"Randle, Joseph",21,running back,72,198,12/29/91,DAL,capricorn
"Rayford, Caesar",95,defensive end,79,267,3/4/86,DAL,pisces
"Romo, Tony",9,quarterback,74,236,4/21/80,DAL,taurus
"Scandrick, Orlando",32,cornerback,70,195,2/10/87,DAL,aquarius
"Selvie, George",99,defensive end,76,270,3/6/87,DAL,pisces
"Spencer, Anthony",93,defensive end,75,262,1/23/84,DAL,aquarius
"Tanner, Phillip",34,running back,70,208,8/8/88,DAL,leo
"Ware, DeMarcus",94,defensive end,76,258,7/31/82,DAL,leo
"Webb, B.W.",20,cornerback,70,178,5/3/90,DAL,taurus
"Wilber, Kyle",51,defensive end,76,250,4/26/89,DAL,taurus
"Anderson, C.J.",39,running back,68,224,2/10/91,DEN,aquarius
"Ayers, Robert",91,defensive end,75,274,9/6/85,DEN,virgo
"Bailey, Champ",24,cornerback,72,192,6/22/78,DEN,cancer
"Ball, Montee",28,running back,70,215,12/5/90,DEN,sagittarius
"Bolden, Omar",31,cornerback,70,195,12/20/88,DEN,sagittarius
"Dysert, Zac",2,quarterback,75,221,2/8/90,DEN,aquarius
"Harris, Chris",25,cornerback,70,199,6/18/89,DEN,gemini
"Hillman, Ronnie",21,running back,70,195,9/14/91,DEN,virgo
"Jackson, Malik",97,defensive end,77,293,1/11/90,DEN,capricorn
"Jammer, Quentin",23,cornerback,72,204,6/19/79,DEN,gemini
"Knighton, Terrance",94,defensive tackle,75,335,7/4/86,DEN,cancer
"Manning, Peyton",18,quarterback,77,230,3/24/76,DEN,aries
"Moreno, Knowshon",27,running back,71,220,7/16/87,DEN,cancer
"Osweiler, Brock",17,quarterback,80,240,11/22/90,DEN,scorpio
"Phillips, Shaun",90,defensive end,75,255,5/13/81,DEN,taurus
"Rodgers-Cromartie, Dominique",45,cornerback,74,193,4/7/86,DEN,aries
"Smith, Quanterus",69,defensive end,77,255,11/26/89,DEN,sagittarius
"Unrein, Mitch",96,defensive tackle,76,306,3/25/87,DEN,aries
"Vickerson, Kevin",99,defensive tackle,77,328,1/8/83,DEN,capricorn
"Webster, Kayvon",36,cornerback,71,198,2/1/91,DEN,aquarius
"Williams, Sylvester",92,defensive tackle,74,313,11/21/88,DEN,scorpio
"Wolfe, Derek",95,defensive end,77,285,2/24/90,DEN,pisces
"Ansah, Ezekiel",94,defensive end,77,271,5/29/89,DET,gemini
"Bell, Joique",35,running back,71,220,8/4/86,DET,leo
"Bentley, Bill",28,cornerback,70,176,5/16/89,DET,taurus
"Bush, Reggie",21,running back,72,203,3/2/85,DET,pisces
"Fairley, Nick",98,defensive tackle,76,298,1/23/88,DET,aquarius
"Fluellen, Andre",96,defensive tackle,74,302,3/7/85,DET,pisces
"Green, Jonte",36,cornerback,72,184,7/19/89,DET,cancer
"Hill, Shaun",14,quarterback,75,220,1/9/80,DET,capricorn
"Houston, Chris",23,cornerback,71,178,10/18/84,DET,libra
"Idonije, Israel",77,defensive end,78,275,11/17/80,DET,scorpio
"Jones, Jason",91,defensive end,77,276,5/23/86,DET,gemini
"Leshoure, Mikel",25,running back,72,233,3/30/90,DET,aries
"Mathis, Rashean",31,cornerback,73,195,8/27/80,DET,virgo
"Moore, Kellen",17,quarterback,72,197,7/12/89,DET,cancer
"Mosley, C.J.",99,defensive tackle,74,310,8/6/83,DET,leo
"Owens, Montell",34,running back,70,225,5/4/84,DET,taurus
"Riddick, Theo",41,running back,69,200,5/4/91,DET,taurus
"Slay, Darius",30,cornerback,72,192,1/1/91,DET,capricorn
"Stafford, Matthew",9,quarterback,75,232,2/7/88,DET,aquarius
"Suh, Ndamukong",90,defensive tackle,76,307,1/6/87,DET,capricorn
"Taylor, Devin",92,defensive end,79,267,11/15/89,DET,scorpio
"Young, Willie",79,defensive end,76,251,9/19/85,DET,virgo
"Boyd, Josh",93,defensive end,75,310,8/3/89,GB,leo
"Bush, Jarrett",24,cornerback,72,200,5/21/84,GB,taurus
"Daniels, Mike",76,defensive end,72,291,5/5/89,GB,taurus
"Franklin, Johnathan",23,running back,70,205,10/23/89,GB,libra
"Harris, DuJuan",26,running back,68,203,9/3/88,GB,virgo
"Hayward, Casey",29,cornerback,71,192,9/9/89,GB,virgo
"Hill, Michael",34,running back,71,205,8/14/89,GB,leo
"House, Davon",31,cornerback,72,195,7/10/89,GB,cancer
"Hyde, Micah",33,cornerback,72,197,12/31/90,GB,capricorn
"Jolly, Johnny",97,defensive end,75,325,2/21/83,GB,pisces
"Jones, Datone",95,defensive end,76,285,7/24/90,GB,leo
"Lacy, Eddie",27,running back,71,230,6/2/90,GB,gemini
"Neal, Mike",96,defensive end,75,285,6/26/87,GB,cancer
"Nixon, James",25,cornerback,72,186,2/2/88,GB,aquarius
"Raji, B.J.",90,defensive end,74,337,7/11/86,GB,cancer
"Rodgers, Aaron",12,quarterback,74,225,12/2/83,GB,sagittarius
"Shields, Sam",37,cornerback,71,184,12/8/87,GB,sagittarius
"Starks, James",44,running back,74,218,2/25/86,GB,pisces
"Wallace, Seneca",9,quarterback,71,205,8/6/80,GB,leo
"Williams, Tramon",38,cornerback,71,191,3/16/83,GB,pisces
"Wilson, C.J.",98,defensive end,75,306,3/30/87,GB,aries
"Worthy, Jerel",99,defensive end,74,308,4/28/90,GB,taurus
"Battle, Jackie",22,running back,74,240,10/1/83,TEN,libra
"Casey, Jurrell",99,defensive tackle,73,305,12/5/89,TEN,sagittarius
"Edwards, Lavar",98,defensive end,76,277,4/29/90,TEN,taurus
"Fitzpatrick, Ryan",4,quarterback,74,223,11/24/82,TEN,sagittarius
"Greene, Shonn",23,running back,71,233,8/21/85,TEN,leo
"Hill, Sammie Lee",94,defensive tackle,76,328,11/8/86,TEN,scorpio
"Johnson, Antonio",90,defensive tackle,75,328,12/8/84,TEN,sagittarius
"Johnson, Chris",28,running back,71,203,9/23/85,TEN,virgo
"Klug, Karl",97,defensive tackle,75,278,3/31/88,TEN,aries
"Locker, Jake",10,quarterback,75,223,6/15/88,TEN,gemini
"Martin, Mike",93,defensive tackle,73,298,9/1/90,TEN,virgo
"McCourty, Jason",30,cornerback,72,193,8/13/87,TEN,leo
"Morgan, Derrick",91,defensive end,75,271,1/6/89,TEN,capricorn
"Pitoitua, Ropati",92,defensive end,80,298,4/6/85,TEN,aries
"Reynaud, Darius",25,running back,69,208,12/29/84,TEN,capricorn
"Sensabaugh, Coty",24,cornerback,71,187,11/15/88,TEN,scorpio
"Smith, Rusty",11,quarterback,77,226,1/28/87,TEN,aquarius
"Verner, Alterraun",20,cornerback,70,187,12/13/88,TEN,sagittarius
"Wimbley, Kamerion",95,defensive end,76,258,10/13/83,TEN,libra
"Wreh-Wilson, Blidi",29,cornerback,73,198,12/5/89,TEN,sagittarius
"Ballard, Vick",33,running back,70,224,7/16/90,IND,cancer
"Bradshaw, Ahmad",44,running back,70,214,3/19/86,IND,pisces
"Brown, Donald",31,running back,70,207,4/11/87,IND,aries
"Chapman, Josh",96,defensive tackle,72,341,6/10/89,IND,gemini
"Davis, Vontae",23,cornerback,71,204,5/27/88,IND,gemini
"Hasselbeck, Matt",8,quarterback,76,235,9/25/75,IND,libra
"Hughes, Montori",94,defensive tackle,76,335,8/25/90,IND,virgo
"Jean Francois, Ricky",99,defensive end,75,297,11/23/86,IND,sagittarius
"Luck, Andrew",12,quarterback,76,239,9/12/89,IND,virgo
"Mathews, Ricardo",91,defensive tackle,75,300,7/30/87,IND,leo
"Moala, Fili",95,defensive end,76,308,6/23/85,IND,cancer
"Redding, Cory",90,defensive end,76,318,11/15/80,IND,scorpio
"Richardson, Trent",34,running back,69,225,7/10/91,IND,cancer
"Toler, Greg",28,cornerback,72,190,1/2/85,IND,capricorn
"Vaughn, Cassius",32,cornerback,71,199,11/3/87,IND,scorpio
"Bailey, Allen",97,defensive end,75,288,3/25/89,KC,aries
"Bray, Tyler",9,quarterback,78,215,12/27/91,KC,capricorn
"Catapano, Mike",77,defensive end,75,270,8/17/90,KC,leo
"Charles, Jamaal",25,running back,71,199,12/27/86,KC,capricorn
"Commings, Sanders",26,cornerback,72,223,3/8/90,KC,pisces
"Cooper, Marcus",31,cornerback,73,192,2/1/90,KC,aquarius
"Daniel, Chase",10,quarterback,72,225,10/7/86,KC,libra
"Davis, Knile",34,running back,70,227,10/5/91,KC,libra
"DeVito, Mike",70,defensive end,75,305,6/10/84,KC,gemini
"Flowers, Brandon",24,cornerback,69,187,2/18/86,KC,aquarius
"Gray, Cyrus",32,running back,70,206,11/18/89,KC,scorpio
"Howard, Jaye",96,defensive tackle,75,301,12/20/88,KC,sagittarius
"Jackson, Tyson",94,defensive end,76,296,6/6/86,KC,gemini
"Robinson, Dunta",21,cornerback,70,183,4/11/82,KC,aries
"Smith, Alex",11,quarterback,76,217,5/7/84,KC,taurus
"Smith, Sean",27,cornerback,75,218,7/14/87,KC,cancer
"Toribio, Anthony",98,defensive tackle,73,315,3/1/85,KC,pisces
"Adams, Phillip",28,cornerback,71,195,7/20/88,OAK,cancer
"Bilukidi, Christo",96,defensive tackle,77,320,12/13/89,OAK,sagittarius
"Crawford, Jack",91,defensive end,77,281,9/7/88,OAK,virgo
"Hayden, D.J.",25,cornerback,71,190,6/27/90,OAK,cancer
"Houston, Lamarr",99,defensive end,75,300,6/24/87,OAK,cancer
"Hunter, Jason",93,defensive end,76,270,8/28/83,OAK,virgo
"Jenkins, Mike",21,cornerback,70,197,3/22/85,OAK,aries
"Jennings, Rashad",27,running back,73,231,3/26/85,OAK,aries
"McFadden, Darren",20,running back,73,218,8/27/87,OAK,virgo
"McGee, Stacy",92,defensive tackle,75,310,1/17/90,OAK,capricorn
"McGloin, Matthew",14,quarterback,73,210,12/2/89,OAK,sagittarius
"Murray, Latavius",34,running back,75,230,1/18/90,OAK,capricorn
"Olawale, Jamize",49,running back,73,240,4/17/89,OAK,aries
"Porter, Tracy",23,cornerback,71,188,8/11/86,OAK,leo
"Pryor, Terrelle",2,quarterback,76,233,6/20/89,OAK,gemini
"Robinson, Ryan",58,defensive end,76,255,12/9/90,OAK,sagittarius
"Sanford, Brian",75,defensive end,74,280,9/12/87,OAK,virgo
"Sims, Pat",90,defensive tackle,74,310,11/29/85,OAK,sagittarius
"Walker, Vance",98,defensive tackle,74,305,4/26/87,OAK,taurus
"Bradford, Sam",8,quarterback,76,224,11/8/87,STL,scorpio
"Brockers, Michael",90,defensive tackle,77,326,12/21/90,STL,sagittarius
"Clemens, Kellen",10,quarterback,74,221,6/7/83,STL,gemini
"Conrath, Matt",71,defensive tackle,79,306,8/11/89,STL,leo
"Cudjo, Jermelle",93,defensive tackle,74,304,9/28/86,STL,libra
"Cunningham, Benny",36,running back,70,217,7/7/90,STL,cancer
"Finnegan, Cortland",31,cornerback,70,179,2/2/84,STL,aquarius
"Hayes, William",95,defensive end,75,278,5/2/85,STL,taurus
"Jenkins, Janoris",21,cornerback,70,198,10/29/88,STL,scorpio
"Johnson, Trumaine",22,cornerback,74,208,1/1/90,STL,capricorn
"Langford, Kendall",98,defensive tackle,78,313,1/27/86,STL,aquarius
"Long, Chris",91,defensive end,75,268,3/28/85,STL,aries
"McGee, Brandon",32,cornerback,71,193,12/11/90,STL,sagittarius
"Pead, Isaiah",24,running back,70,197,12/14/89,STL,sagittarius
"Quinn, Robert",94,defensive end,76,264,5/18/90,STL,taurus
"Reynolds, Chase",34,running back,72,205,10/22/87,STL,libra
"Richardson, Daryl",26,running back,70,206,4/12/90,STL,aries
"Rivers, Gerald",99,defensive end,77,258,6/22/90,STL,cancer
"Sims, Eugene",97,defensive end,78,269,3/18/86,STL,pisces
"Stacy, Zac",30,running back,68,224,4/9/91,STL,aries
"Austin, Marvin",58,defensive tackle,74,312,1/10/89,MIA,capricorn
"Carroll, Nolan",28,cornerback,73,205,1/18/87,MIA,capricorn
"Davis, Will",29,cornerback,71,190,5/8/90,MIA,taurus
"Devlin, Pat",7,quarterback,75,225,4/12/88,MIA,aries
"Gillislee, Mike",23,running back,71,213,11/1/90,MIA,scorpio
"Grimes, Brent",21,cornerback,70,190,7/19/83,MIA,cancer
"Jordan, Dion",95,defensive end,78,260,3/5/90,MIA,pisces
"Martin, Vaughn",90,defensive end,76,300,4/18/86,MIA,aries
"Miller, Lamar",26,running back,70,216,4/25/91,MIA,taurus
"Moore, Matt",8,quarterback,75,216,8/9/84,MIA,leo
"Odrick, Jared",98,defensive tackle,77,302,12/31/87,MIA,capricorn
"Patterson, Dimitri",24,cornerback,70,200,6/18/83,MIA,gemini
"Shelby, Derrick",79,defensive end,74,280,3/4/89,MIA,pisces
"Soliai, Paul",96,defensive tackle,76,340,12/30/83,MIA,capricorn
"Starks, Randy",94,defensive tackle,75,305,12/14/83,MIA,sagittarius
"Tannehill, Ryan",17,quarterback,76,222,7/27/88,MIA,leo
"Taylor, Jamar",22,cornerback,70,195,9/29/90,MIA,libra
"Thigpen, Marcus",34,running back,69,195,5/15/86,MIA,taurus
"Thomas, Daniel",33,running back,73,235,10/29/87,MIA,scorpio
"Vernon, Olivier",50,defensive end,74,268,10/7/90,MIA,libra
"Wake, Cameron",91,defensive end,75,258,1/30/82,MIA,aquarius
"Allen, Jared",69,defensive end,78,270,4/3/82,MIN,aries
"Asiata, Matt",44,running back,72,234,7/24/87,MIN,leo
"Baker, Chase",91,defensive tackle,73,300,5/21/88,MIN,taurus
"Cassel, Matt",16,quarterback,76,228,5/17/82,MIN,taurus
"Cook, Chris",20,cornerback,74,212,2/15/87,MIN,aquarius
"Evans, Fred",90,defensive tackle,76,305,11/6/83,MIN,scorpio
"Felder, Bobby",31,cornerback,71,200,9/23/90,MIN,virgo
"Floyd, Sharrif",95,defensive tackle,75,305,5/28/91,MIN,gemini
"Freeman, Josh",5,quarterback,78,240,1/13/88,MIN,capricorn
"Gerhart, Toby",32,running back,72,231,3/28/87,MIN,aries
"Griffen, Everson",97,defensive end,75,273,12/22/87,MIN,capricorn
"Guion, Letroy",98,defensive tackle,76,303,6/21/87,MIN,gemini
"Jefferson, A.J.",24,cornerback,73,190,4/4/88,MIN,aries
"Peterson, Adrian",28,running back,73,217,3/21/85,MIN,aries
"Ponder, Christian",7,quarterback,74,229,2/25/88,MIN,pisces
"Rhodes, Xavier",29,cornerback,73,210,6/19/90,MIN,gemini
"Robinson, Josh",21,cornerback,70,199,1/8/91,MIN,capricorn
"Robison, Brian",96,defensive end,75,259,4/27/83,MIN,taurus
"Sherels, Marcus",35,cornerback,70,175,9/30/87,MIN,libra
"Williams, Kevin",93,defensive tackle,77,311,8/16/80,MIN,leo
"Arrington, Kyle",25,cornerback,70,190,8/12/86,NE,leo
"Bequette, Jake",92,defensive end,77,265,2/21/89,NE,pisces
"Blount, LeGarrette",29,running back,72,250,12/5/86,NE,sagittarius
"Bolden, Brandon",38,running back,71,220,1/26/90,NE,aquarius
"Brady, Tom",12,quarterback,76,225,8/3/77,NE,leo
"Buchanan, Michael",99,defensive end,77,255,1/24/91,NE,aquarius
"Dennard, Alfonzo",37,cornerback,70,200,9/9/89,NE,virgo
"Grissom, Cory",67,defensive tackle,74,316,6/9/90,NE,gemini
"Jones, Chandler",95,defensive end,77,265,2/27/90,NE,pisces
"Jones, Chris",94,defensive tackle,73,309,7/12/90,NE,cancer
"Kelly, Tommy",93,defensive tackle,78,310,12/27/80,NE,capricorn
"Mallett, Ryan",15,quarterback,78,245,6/5/88,NE,gemini
"Ninkovich, Rob",50,defensive end,74,260,2/1/84,NE,aquarius
"Ridley, Stevan",22,running back,71,220,1/27/89,NE,aquarius
"Talib, Aqib",31,cornerback,73,205,2/13/86,NE,aquarius
"Vellano, Joe",72,defensive tackle,73,300,10/30/88,NE,scorpio
"Vereen, Shane",34,running back,70,205,5/2/89,NE,taurus
"Washington, Leon",33,running back,68,203,8/29/82,NE,virgo
"Wilfork, Vince",75,defensive tackle,74,325,11/4/81,NE,scorpio
"Brees, Drew",9,quarterback,72,209,1/15/79,NO,capricorn
"Bunkley, Brodrick",77,defensive tackle,74,306,11/23/83,NO,sagittarius
"Cadet, Travaris",39,running back,73,210,2/1/89,NO,aquarius
"Coleman, Kenyon",99,defensive end,77,293,4/10/79,NO,aries
"Davis, A.J.",20,cornerback,72,183,7/6/89,NO,cancer
"Foster, Glenn",97,defensive end,76,285,5/31/90,NO,gemini
"Greer, Jabari",33,cornerback,71,180,2/11/82,NO,aquarius
"Hicks, Akiem",76,defensive end,77,324,11/16/89,NO,scorpio
"Ingram, Mark",22,running back,69,215,12/21/89,NO,sagittarius
"Johnson, Tom",96,defensive tackle,75,288,8/30/84,NO,virgo
"Jordan, Cameron",94,defensive end,76,287,7/10/89,NO,cancer
"Lewis, Keenan",28,cornerback,73,208,5/17/86,NO,taurus
"McCown, Luke",7,quarterback,76,217,7/12/81,NO,cancer
"Robinson, Khiry",29,running back,72,220,12/28/89,NO,capricorn
"Robinson, Patrick",21,cornerback,71,191,9/7/87,NO,virgo
"Sproles, Darren",43,running back,66,190,6/20/83,NO,gemini
"Sweeting, Rod",38,cornerback,71,187,9/28/90,NO,libra
"Thomas, Pierre",23,running back,71,215,12/18/84,NO,sagittarius
"Walker, Tyrunn",75,defensive end,75,294,3/18/90,NO,pisces
"White, Corey",24,cornerback,73,205,5/9/90,NO,taurus
"Amukamara, Prince",20,cornerback,72,207,6/6/89,NYG,gemini
"Brown, Andre",35,running back,72,227,12/15/86,NYG,sagittarius
"Conner, John",32,running back,71,245,6/8/87,NYG,gemini
"Cox, Michael",29,running back,72,220,11/14/88,NYG,scorpio
"Hankins, Johnathan",96,defensive tackle,74,320,3/30/92,NYG,aries
"Hosley, Jayron",28,cornerback,70,178,9/18/90,NYG,virgo
"Jacobs, Brandon",34,running back,76,264,7/6/82,NYG,cancer
"Jenkins, Cullen",99,defensive tackle,74,305,1/20/81,NYG,capricorn
"Joseph, Linval",97,defensive tackle,76,323,10/10/88,NYG,libra
"Kiwanuka, Mathias",94,defensive end,77,267,3/8/83,NYG,pisces
"Kuhn, Markus",78,defensive tackle,76,299,5/5/86,NYG,taurus
"Manning, Eli",10,quarterback,76,218,1/3/81,NYG,capricorn
"McBride, Trumaine",38,cornerback,69,185,9/24/85,NYG,libra
"Moore, Damontre",98,defensive end,77,250,9/11/92,NYG,virgo
"Nassib, Ryan",9,quarterback,74,223,3/10/90,NYG,pisces
"Painter, Curtis",17,quarterback,76,230,6/24/85,NYG,cancer
"Patterson, Mike",93,defensive tackle,73,300,9/1/83,NYG,virgo
"Pierre-Paul, Jason",90,defensive end,77,278,1/1/89,NYG,capricorn
"Rogers, Shaun",95,defensive tackle,76,350,3/12/79,NYG,pisces
"Ross, Aaron",31,cornerback,72,190,9/15/82,NYG,virgo
"Scott, Da'Rel",33,running back,71,210,5/26/88,NYG,gemini
"Tuck, Justin",91,defensive end,77,268,3/29/83,NYG,aries
"Webster, Corey",23,cornerback,72,200,3/2/82,NYG,pisces
"Wilson, David",22,running back,69,205,6/15/91,NYG,gemini
